"Date","Standardized_score","Prices","Policy","Finance","Growth","Global","Other"
"2007/07/05",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2007/08/02",-0.504584065301475,0,-0.504584065301475,0,0,0,0
"2007/09/06",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2007/10/04",-0.662528082425278,0,-0.662528082425278,0,0,0,0
"2007/11/08",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2007/12/06",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2008/01/10",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2008/02/07",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2008/03/06",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2008/04/10",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2008/05/08",-0.662528082425278,0,-0.662528082425278,0,0,0,0
"2008/06/05",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2008/07/03",2.33840824292698,0,1.55893882861799,0,0,0,0
"2008/08/07",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2008/09/04",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2008/10/02",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2008/10/08",1.01167849908704,0.413868476899242,0.367883090577104,0.137956158966414,-0.091970772644276,0.183941545288552,0
"2008/11/06",-1.10477133037193,0,-1.10477133037193,0,0,0,0
"2008/12/04",-0.75729449269956,0,-0.75729449269956,0,0,0,0
"2009/01/15",-0.0939296207795865,0,-0.0939296207795865,0,0,0,0
"2009/02/05",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2009/03/05",-0.75729449269956,0,-0.75729449269956,0,0,0,0
"2009/04/02",-0.75729449269956,0,-0.75729449269956,0,0,0,0
"2009/05/07",-1.57860338174334,0,-1.57860338174334,0,0,0,0
"2009/06/04",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2009/07/02",0.127192003193738,0,0.127192003193738,0,0,0,0
"2009/08/06",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2009/09/03",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2009/10/08",0.127192003193738,0,0.127192003193738,0,0,0,0
"2009/11/05",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2009/12/03",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2010/01/14",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2010/02/04",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2010/03/04",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2010/04/08",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2010/05/06",0.127192003193738,0,0.127192003193738,0,0,0,0
"2010/06/10",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2010/07/08",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2010/08/05",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2010/09/02",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2010/10/07",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2010/11/04",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2010/12/02",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2011/01/13",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2011/02/03",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2011/03/03",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2011/04/07",2.78065149087363,0,2.78065149087363,0,0,0,0
"2011/05/05",0.127192003193738,0,0.127192003193738,0,0,0,0
"2011/06/09",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2011/07/07",2.78065149087363,0,2.78065149087363,0,0,0,0
"2011/08/04",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2011/09/08",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2011/10/06",0.127192003193738,0,0.127192003193738,0,0,0,0
"2011/11/03",-0.75729449269956,0,-0.75729449269956,0,0,0,0
"2011/12/08",-0.75729449269956,0,-0.75729449269956,0,0,0,0
"2012/01/12",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2012/02/09",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2012/03/08",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2012/04/04",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2012/05/03",0.127192003193738,0,0.127192003193738,0,0,0,0
"2012/06/06",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2012/07/05",-0.75729449269956,0,-0.75729449269956,0,0,0,0
"2012/08/02",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2012/08/20",0.0640143963442169,0,0.0640143963442169,0,0,0,0
"2012/10/04",0.190369610043259,0,0.190369610043259,0,0,0,0
"2012/11/08",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2012/12/06",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2013/01/10",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2013/02/07",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2013/03/07",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2013/04/04",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2013/05/02",-1.57860338174334,0,-1.57860338174334,0,0,0,0
"2013/06/06",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2013/07/04",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2013/08/01",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2013/09/05",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2013/10/02",0.127192003193738,0,0.127192003193738,0,0,0,0
"2013/11/07",-1.57860338174334,0,-1.57860338174334,0,0,0,0
"2013/12/05",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2014/01/09",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2014/02/06",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2014/03/06",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2014/04/03",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2014/06/05",-0.315051244752911,0,-0.315051244752911,0,0,0,0
"2014/07/03",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2014/08/07",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2014/09/04",-0.75729449269956,0,-0.75729449269956,0,0,0,0
"2014/10/02",0.127192003193738,0,0.127192003193738,0,0,0,0
"2014/11/06",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2014/12/04",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2015/01/22",1.29597772990988,0,1.29597772990988,0,0,0,0
"2015/03/05",0.127192003193738,0,0.127192003193738,0,0,0,0
"2015/04/15",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2015/06/03",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2015/07/16",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2015/09/03",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2015/10/22",0.127192003193738,0,0.127192003193738,0,0,0,0
"2015/12/03",0.569435251140387,0,0.569435251140387,0,0,0,0
"2016/01/21",0.000836789494695512,0,0.000836789494695512,0,0,0,0
"2016/03/10",-0.820472099549081,0,-0.820472099549081,0,0,0,0
"2016/04/21",1.29597772990988,0,1.29597772990988,0,0,0,0
"2016/06/02",0.127192003193738,0,0.127192003193738,0,0,0,0
"2016/07/21",0.0324255929194562,0,0.0324255929194562,0,0,0,0
"2016/09/08",0.0324255929194562,0,0.0324255929194562,0,0,0,0
"2016/10/20",0.0324255929194562,0,0.0324255929194562,0,0,0,0
"2016/12/08",0.601024054565148,0.200341351521716,0.400682703043432,0,0,0,0
"2017/01/19",0.632612857989908,0.210870952663303,0.421741905326606,0,0,0,0
"2017/03/09",0.632612857989908,0.210870952663303,0.421741905326606,0,0,0,0
"2017/04/27",0.632612857989908,0.210870952663303,0.421741905326606,0,0,0,0
"2017/06/08",0.980089695662276,0.490044847831138,0.490044847831138,0,0,0,0
"2017/07/20",0.916912088812754,0.458456044406377,0.458456044406377,0,0,0,0
"2017/09/07",0.916912088812754,0.458456044406377,0.458456044406377,0,0,0,0
"2017/10/26",1.61186576415749,0.537288588052496,0.537288588052496,0.537288588052496,0,0,0
"2017/12/14",1.83298738813081,0.610995796043604,0.610995796043604,0.610995796043604,0,0,0
"2018/01/25",1.80139858470605,0.600466194902017,0.600466194902017,0.600466194902017,0,0,0
"2018/03/08",1.83298738813081,0,0.916493694065406,0.916493694065406,0,0,0
"2018/04/26",1.83298738813081,0,0.916493694065406,0.916493694065406,0,0,0
"2018/06/14",0.411491234016584,0.205745617008292,0.102872808504146,0.102872808504146,0,0,0
"2018/07/26",0.569435251140387,0.284717625570194,0.142358812785097,0.142358812785097,0,0,0
"2018/09/13",0.569435251140387,0.284717625570194,0.142358812785097,0.142358812785097,0,0,0
"2018/10/25",0.69579046483943,0.231930154946477,0.231930154946477,0.231930154946477,0,0,0
"2018/12/13",0.853734481963233,0.284578160654411,0.426867240981616,0.142289080327205,0,0,0
"2019/01/24",0.822145678538472,0.274048559512824,0.411072839269236,0.137024279756412,0,0,0
"2019/03/07",1.48551055045845,0.297102110091689,0.445653165137534,0.742755275229223,0,0,0
"2019/04/10",0.822145678538472,0.274048559512824,0.411072839269236,0.137024279756412,0,0,0
"2019/06/06",0.72737926826419,0.145475853652838,0.654641341437771,-0.072737926826419,0,0,0
"2019/07/25",0.253547216892781,0.0422578694821301,0.190160412669586,0.0211289347410651,0,0,0
"2019/09/12",0.127192003193738,0.0105993335994782,0.108643169394651,0.00794950019960863,0,0,0
"2019/10/24",0.285136020317541,0.0475226700529236,0.201971347724925,0.0356420025396927,0,0,0
"2019/12/12",0.285136020317541,0.0475226700529236,0.201971347724925,0.0356420025396927,0,0,0
"2020/01/23",0.285136020317541,0.0475226700529236,0.201971347724925,0.0356420025396927,0,0,0
"2020/03/12",0.411491234016584,0.0304808321493766,0.205745617008292,0.0838222884107856,0,0,0.0914424964481298
"2020/04/30",0.0640143963442169,0.00533453302868474,0.0546789635440186,0.00400089977151355,0,0,0
"2020/06/04",0.158780806618499,0.0176423118464999,0.0742237262684887,0.0132317338848749,0,0,0.0272195668488855
"2020/07/16",0.601024054565148,0.0667804505072387,0.279461667883553,0.150256013641287,0,0,0.00435524677221122
"2020/09/10",0.601024054565148,0.0667804505072387,0.279643136499062,0.150256013641287,0,0,0.00417377815670242
"2020/10/29",0.72737926826419,0.069274216025161,0.290085779605362,0.0519556620188707,0,0,0.212152286577055
"2020/12/10",0.0640143963442169,0.0060966091756397,0.0259105889964687,0.00457245688172978,0,0,0.0274347412903787
"2021/01/21",-0.157107227629108,-0.0149625931075341,-0.0860349103683209,-0.0112219448306505,0,0,-0.0224438896613011
"2021/03/11",0.758968071688951,0.180706683735465,0.30720136235029,0.0542120051206394,0,0,0.108424010241279
